codigo,tipo,diametro,paso,largo,grado,sistema,precio_unitario,proveedor,descripcion
codigo,otro,,,,,otro,precio_unitario,proveedor,descripcion
1010000000D0125,bulón,1/4,,5,,imperial,157.70252778840003,fleb,Bulon Cab. Redonda 1/4 5
1010000000D0140,bulón,1/4,,5,,imperial,172.41167307168,fleb,Bulon Cab. Redonda 1/4 5 1/2
1010000000D0155,bulón,1/4,,6,,imperial,186.09630077303999,fleb,Bulon Cab. Redonda 1/4 6
1010000000E0025,bulón,5/16,,1,,imperial,77.71697657135998,fleb,Bulon Cab. Redonda 5/16 1
1010000000E0032,bulón,5/16,,1,,imperial,90.81616565448002,fleb,Bulon Cab. Redonda 5/16 1 1/4
1010000000E0038,bulón,5/16,,1,,imperial,102.21247252789652,fleb,Bulon Cab. Redonda 5/16 1 1/2
1010000000E0044,bulón,5/16,,1,,imperial,111.37969712016,fleb,Bulon Cab. Redonda 5/16 1 3/4
1010000000E0050,bulón,5/16,,2,,imperial,129.96737324928003,fleb,Bulon Cab. Redonda 5/16 2
1010000000E0056,bulón,5/16,,2,,imperial,136.55355770448,fleb,Bulon Cab. Redonda 5/16 2 1/4
1010000000E0063,bulón,5/16,,2,,imperial,156.75119003376003,fleb,Bulon Cab. Redonda 5/16 2 1/2
1010000000E0070,bulón,5/16,,2,,imperial,156.16575141552,fleb,Bulon Cab. Redonda 5/16 2 3/4
1010000000E0076,bulón,5/16,,3,,imperial,167.43544481663997,fleb,Bulon Cab. Redonda 5/16 3
1010000000E0082,bulón,5/16,,3,,imperial,178.5587785632,fleb,Bulon Cab. Redonda 5/16 3 1/4
1010000000E0090,bulón,5/16,,3,,imperial,189.82847196432002,fleb,Bulon Cab. Redonda 5/16 3 1/2
1010000000E0100,bulón,5/16,,4,,imperial,212.14831928471997,fleb,Bulon Cab. Redonda 5/16 4
1010000000E0110,bulón,5/16,,4,,imperial,233.29728936863998,fleb,Bulon Cab. Redonda 5/16 4 1/2
1010000000E0125,bulón,5/16,,5,,imperial,235.05360522335997,fleb,Bulon Cab. Redonda 5/16 5
1010000000E0140,bulón,5/16,,5,,imperial,279.32740072776005,fleb,Bulon Cab. Redonda 5/16 5 1/2
1010000000E0155,bulón,5/16,,6,,imperial,326.30884984151993,fleb,Bulon Cab. Redonda 5/16 6
1010000000E0175,bulón,5/16,,7,,imperial,346.57966199808004,fleb,Bulon Cab. Redonda 5/16 7
1010000000E0200,bulón,5/16,,8,,imperial,389.3166811296001,fleb,Bulon Cab. Redonda 5/16 8
1010000000E0225,bulón,5/16,,9,,imperial,437.1587250121728,fleb,Bulon Cab. Redonda 5/16 9
1010000000E0250,bulón,5/16,,10,,imperial,620.41857567984,fleb,Bulon Cab. Redonda 5/16 10
1010000000F0025,bulón,3/8,,1,,imperial,122.42985103944,fleb,Bulon Cab. Redonda 3/8 1
1010000000F0032,bulón,3/8,,1,,imperial,140.94434734128004,fleb,Bulon Cab. Redonda 3/8 1 1/4
1010000000F0038,bulón,3/8,,1,,imperial,157.04390934287997,fleb,Bulon Cab. Redonda 3/8 1 1/2
1010000000F0044,bulón,3/8,,1,,imperial,179.61029452800003,fleb,Bulon Cab. Redonda 3/8 1 3/4
1010000000F0050,bulón,3/8,,2,,imperial,185.21814284567998,fleb,Bulon Cab. Redonda 3/8 2
1010000000F0056,bulón,3/8,,2,,imperial,200.95180571088,fleb,Bulon Cab. Redonda 3/8 2 1/4
1010000000F0063,bulón,3/8,,2,,imperial,210.9067914776632,fleb,Bulon Cab. Redonda 3/8 2 1/2
1010000000F0070,bulón,3/8,,2,,imperial,232.3794642653177,fleb,Bulon Cab. Redonda 3/8 2 3/4
1010000000F0076,bulón,3/8,,3,,imperial,248.00643465192002,fleb,Bulon Cab. Redonda 3/8 3
1010000000F0082,bulón,3/8,,3,,imperial,263.8132773444,fleb,Bulon Cab. Redonda 3/8 3 1/4
1010000000F0090,bulón,3/8,,3,,imperial,278.01016383672004,fleb,Bulon Cab. Redonda 3/8 3 1/2
1010000000F0100,bulón,3/8,,4,,imperial,310.8679062854399,fleb,Bulon Cab. Redonda 3/8 4
1010000000F0110,bulón,3/8,,4,,imperial,349.21413578016006,fleb,Bulon Cab. Redonda 3/8 4 1/2
1010000000F0125,bulón,3/8,,5,,imperial,373.65619809168004,fleb,Bulon Cab. Redonda 3/8 5
1010000000F0140,bulón,3/8,,5,,imperial,401.0254534944,fleb,Bulon Cab. Redonda 3/8 5 1/2
1010000000F0155,bulón,3/8,,6,,imperial,445.29924899879995,fleb,Bulon Cab. Redonda 3/8 6
1010000000F0175,bulón,3/8,,7,,imperial,496.6714877493601,fleb,Bulon Cab. Redonda 3/8 7
1010000000F0200,bulón,3/8,,8,,imperial,559.0938804192001,fleb,Bulon Cab. Redonda 3/8 8
1010000000F0225,bulón,3/8,,9,,imperial,624.8825451439201,fleb,Bulon Cab. Redonda 3/8 9
1010000000F0250,bulón,3/8,,10,,imperial,687.5976571228799,fleb,Bulon Cab. Redonda 3/8 10
1010000000G0038,bulón,7/16,,1,,imperial,209.51384550263995,fleb,Bulon Cab. Redonda 7/16 1 1/2
1010000000G0050,bulón,7/16,,2,,imperial,252.5741496611937,fleb,Bulon Cab. Redonda 7/16 2
1010000000G0056,bulón,7/16,,2,,imperial,296.90774238357534,fleb,Bulon Cab. Redonda 7/16 2 1/4
1010000000G0063,bulón,7/16,,2,,imperial,307.7157676878103,fleb,Bulon Cab. Redonda 7/16 2 1/2
1010000000G0070,bulón,7/16,,2,,imperial,317.6565582986849,fleb,Bulon Cab. Redonda 7/16 2 3/4
1010000000G0076,bulón,7/16,,3,,imperial,270.90950498031964,fleb,Bulon Cab. Redonda 7/16 3
1010000000G0090,bulón,7/16,,3,,imperial,383.3177344651891,fleb,Bulon Cab. Redonda 7/16 3 1/2
1010000000G0100,bulón,7/16,,4,,imperial,425.2783803186184,fleb,Bulon Cab. Redonda 7/16 4
1010000000G0110,bulón,7/16,,4,,imperial,469.90135680550657,fleb,Bulon Cab. Redonda 7/16 4 1/2
1010000000G0125,bulón,7/16,,5,,imperial,511.91987941183726,fleb,Bulon Cab. Redonda 7/16 5
1010000000G0140,bulón,7/16,,5,,imperial,554.8494504369598,fleb,Bulon Cab. Redonda 7/16 5 1/2
1010000000G0155,bulón,7/16,,6,,imperial,598.53780732312,fleb,Bulon Cab. Redonda 7/16 6
1010000000G0175,bulón,7/16,,7,,imperial,682.5715431801274,fleb,Bulon Cab. Redonda 7/16 7
1010000000G0250,bulón,7/16,,10,,imperial,934.3255039087651,fleb,Bulon Cab. Redonda 7/16 10
1010000000G0275,bulón,7/16,,11,,imperial,1018.1856163445806,fleb,Bulon Cab. Redonda 7/16 11
1010000000H0038,bulón,1/2,,1,,imperial,306.6234763032,fleb,Bulon Cab. Redonda 1/2 1 1/2
1010000000H0050,bulón,1/2,,2,,imperial,426.49203338783997,fleb,Bulon Cab. Redonda 1/2 2
1010000000H0063,bulón,1/2,,2,,imperial,437.02992851616006,fleb,Bulon Cab. Redonda 1/2 2 1/2
1010000000H0070,bulón,1/2,,2,,imperial,467.7490528934138,fleb,Bulon Cab. Redonda 1/2 2 3/4
1010000000H0076,bulón,1/2,,3,,imperial,498.4681772706679,fleb,Bulon Cab. Redonda 1/2 3
1010000000H0090,bulón,1/2,,3,,imperial,559.9064260251755,fleb,Bulon Cab. Redonda 1/2 3 1/2
1010000000H0100,bulón,1/2,,4,,imperial,606.3680488420799,fleb,Bulon Cab. Redonda 1/2 4
1010000000H0110,bulón,1/2,,4,,imperial,666.2291475571202,fleb,Bulon Cab. Redonda 1/2 4 1/2
1010000000H0125,bulón,1/2,,5,,imperial,785.4390861962399,fleb,Bulon Cab. Redonda 1/2 5
1010000000H0140,bulón,1/2,,5,,imperial,786.1708844690402,fleb,Bulon Cab. Redonda 1/2 5 1/2
