codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,precio_unitario,proveedor,descripcion
HEX-00--1--102--112--RT--2--2,bulón,hexagonal,1/2,,1 1/2,,imperial,,,696.2209,borroni,BU HEX - A/325 - 1/2 x 1 1/2 RT ZD
HEX-00--1--102--114--RT--2--2,bulón,hexagonal,1/2,,1 1/4,,imperial,,,620.6338,borroni,BU HEX - A/325 - 1/2 x 1 1/4 RT ZD
HEX-00--1--102--134--RT--2--2,bulón,hexagonal,1/2,,1 3/4,,imperial,,,768.4973,borroni,BU HEX - A/325 - 1/2 x 1 3/4 RT ZD
HEX-00--1--102--200--RT--2--2,bulón,hexagonal,1/2,,2,,imperial,,,846.2842,borroni,BU HEX - A/325 - 1/2 x 2 RT ZD
HEX-00--1--102--212--RP--2--2,bulón,hexagonal,1/2,,2 1/2,,imperial,,,998.5631,borroni,BU HEX - A/325 - 1/2 x 2 1/2 RP ZD
HEX-00--1--102--214--RP--2--2,bulón,hexagonal,1/2,,2 1/4,,imperial,,,922.9711,borroni,BU HEX - A/325 - 1/2 x 2 1/4 RP ZD
HEX-00--1--102--234--RP--2--2,bulón,hexagonal,1/2,,2 3/4,,imperial,,,1077.4476,borroni,BU HEX - A/325 - 1/2 x 2 3/4 RP ZD
HEX-00--1--102--300--RP--2--2,bulón,hexagonal,1/2,,3,,imperial,,,1150.3245,borroni,BU HEX - A/325 - 1/2 x 3 RP ZD
HEX-00--1--102--312--RP--2--2,bulón,hexagonal,1/2,,3 1/2,,imperial,,,1303.1051,borroni,BU HEX - A/325 - 1/2 x 3 1/2 RP ZD
HEX-00--1--304--134--RT--2--2,bulón,hexagonal,3/4,,1 3/4,,imperial,,,1984.5463,borroni,BU HEX - A/325 - 3/4 x 1 3/4 RT ZD
HEX-00--1--304--200--RT--2--2,bulón,hexagonal,3/4,,2,,imperial,,,2155.4257,borroni,BU HEX - A/325 - 3/4 x  2 RT ZD
