codigo,descripcion_original,descripcion_borroni
>BHG2NC065025Z,BULON HEXAGONAL G2 1/4-UNC-1 ZINC,
>BHG2NC065032Z,"BULON HEXAGONAL G2 1/4-UNC-1,1/4 ZINC",
>BHG2NC065038Z,"BULON HEXAGONAL G2 1/4-UNC-1,1/2 ZINC",
>BHG2NC065044Z,"BULON HEXAGONAL G2 1/4-UNC-1,3/4 ZINC",
>BHG2NC065050Z,BULON HEXAGONAL G2 1/4-UNC-2 ZINC,
>BHG2NC065056Z,"BULON HEXAGONAL G2 1/4-UNC-2,1/4 ZINC",
>BHG2NC065063Z,"BULON HEXAGONAL G2 1/4-UNC-2,1/2 ZINC",
>BHG2NC065070Z,"BULON HEXAGONAL G2 1/4-UNC-2,3/4 ZINC",
>BHG2NC065076Z,BULON HEXAGONAL G2 1/4-UNC-3 ZINC,
>BHG2NC065082Z,"BULON HEXAGONAL G2 1/4-UNC-3,1/4 ZINC",
>BHG2NC065090Z,"BULON HEXAGONAL G2 1/4-UNC-3,1/2 ZINC",
>BHG2NC065100Z,BULON HEXAGONAL G2 1/4-UNC-4 ZINC,
>BHG2NC065110Z,"BULON HEXAGONAL G2 1/4-UNC-4,1/2 ZINC",
>BHG2NC065125Z,BULON HEXAGONAL G2 1/4-UNC-5 ZINC,
>BHG2NC065140Z,"BULON HEXAGONAL G2 1/4-UNC-5,1/2 ZINC",
>BHG2NC065155Z,BULON HEXAGONAL G2 1/4-UNC-6 ZINC,
>BHG2NC065175Z,BULON HEXAGONAL G2 1/4-UNC-7 ZINC,
>BHG2NC079012Z,BULON HEXAGONAL G2 5/16-UNC-1/2 ZINC,
>BHG2NC079016Z,BULON HEXAGONAL G2 5/16-UNC-5/8 ZINC,
>BHG2NC079019Z,BULON HEXAGONAL G2 5/16-UNC-3/4 ZINC,
>BHG2NC079022Z,BULON HEXAGONAL G2 5/16-UNC-7/8 ZINC,
>BHG2NC079032Z,"BULON HEXAGONAL G2 5/16-UNC-1,1/4 ZINC",
>BHG2NC079038Z,"BULON HEXAGONAL G2 5/16-UNC-1,1/2 ZINC",
>BHG2NC079044Z,"BULON HEXAGONAL G2 5/16-UNC-1,3/4 ZINC",
>BHG2NC079050Z,BULON HEXAGONAL G2 5/16-UNC-2 ZINC,
>BHG2NC079056Z,"BULON HEXAGONAL G2 5/16-UNC-2,1/4 ZINC",
>BHG2NC079063Z,"BULON HEXAGONAL G2 5/16-UNC-2,1/2 ZINC",
>BHG2NC079070Z,"BULON HEXAGONAL G2 5/16-UNC-2,3/4 ZINC",
>BHG2NC079076Z,BULON HEXAGONAL G2 5/16-UNC-3 ZINC,
>BHG2NC079082Z,"BULON HEXAGONAL G2 5/16-UNC-3,1/4 ZINC",
>BHG2NC079090Z,"BULON HEXAGONAL G2 5/16-UNC-3,1/2 ZINC",
>BHG2NC079096Z,"BULON HEXAGONAL G2 5/16-UNC-3,3/4 ZINC",
>BHG2NC079100Z,BULON HEXAGONAL G2 5/16-UNC-4 ZINC,
>BHG2NC079110Z,"BULON HEXAGONAL G2 5/16-UNC-4,1/2 ZINC",
>BHG2NC079125Z,BULON HEXAGONAL G2 5/16-UNC-5 ZINC,
>BHG2NC079140Z,"BULON HEXAGONAL G2 5/16-UNC-5,1/2 ZINC",
>BHG2NC079155Z,BULON HEXAGONAL G2 5/16-UNC-6 ZINC,
>BHG2NC079175Z,BULON HEXAGONAL G2 5/16-UNC-7 ZINC,
>BHG2NC079200Z,BULON HEXAGONAL G2 5/16-UNC-8 ZINC,
>BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,
>BHG2NC095016Z,BULON HEXAGONAL G2 3/8-UNC-5/8 ZINC,
>BHG2NC095019Z,BULON HEXAGONAL G2 3/8-UNC-3/4 ZINC,
>BHG2NC095022Z,BULON HEXAGONAL G2 3/8-UNC-7/8 ZINC,
>BHG2NC095025Z,BULON HEXAGONAL G2 3/8-UNC-1/ ZINC,
>BHG2NC095032Z,"BULON HEXAGONAL G2 3/8-UNC-1,1/4 ZINC",
>BHG2NC095038Z,"BULON HEXAGONAL G2 3/8-UNC-1,1/2 ZINC",
>BHG2NC095044Z,"BULON HEXAGONAL G2 3/8-UNC-1,3/4 ZINC",
>BHG2NC095050Z,BULON HEXAGONAL G2 3/8-UNC-2 ZINC,
>BHG2NC095056Z,"BULON HEXAGONAL G2 3/8-UNC-2,1/4 ZINC",
>BHG2NC095063Z,"BULON HEXAGONAL G2 3/8-UNC-2,1/2 ZINC",
>BHG2NC095070Z,"BULON HEXAGONAL G2 3/8-UNC-2,3/4 ZINC",
>BHG2NC095076Z,BULON HEXAGONAL G2 3/8-UNC-3 ZINC,
>BHG2NC095082Z,"BULON HEXAGONAL G2 3/8-UNC-3,1/4 ZINC",
>BHG2NC095090Z,"BULON HEXAGONAL G2 3/8-UNC-3,1/2 ZINC",
>BHG2NC095100Z,BULON HEXAGONAL G2 3/8-UNC-4 ZINC,
>BHG2NC095110Z,"BULON HEXAGONAL G2 3/8-UNC-4,1/2 ZINC",
>BHG2NC095125Z,BULON HEXAGONAL G2 3/8-UNC-5 ZINC,
>BHG2NC095140Z,"BULON HEXAGONAL G2 3/8-UNC-5,1/2 ZINC",
>BHG2NC095155Z,BULON HEXAGONAL G2 3/8-UNC-6 ZINC,
>BHG2NC095159Z,"BULON HEXAGONAL G2 3/8-UNC-6,1/4 ZINC",
>BHG2NC095175Z,BULON HEXAGONAL G2 3/8-UNC-7 ZINC,
>BHG2NC095200Z,BULON HEXAGONAL G2 3/8-UNC-8 ZINC,
>BHG2NC095228Z,BULON HEXAGONAL G2 3/8-UNC-9 ZINC,
>BHG2NC110250Z,BULON HEXAGONAL G2 7/16-UNC-10 ZINC,
>BHG2NC110019Z,BULON HEXAGONAL G2 7/16-UNC-3/4 ZINC,
>BHG2NC110022Z,BULON HEXAGONAL G2 7/16-UNC-7/8 ZINC,
>BHG2NC110025Z,BULON HEXAGONAL G2 7/16-UNC-1 ZINC,
>BHG2NC110032Z,"BULON HEXAGONAL G2 7/16-UNC-1,1/4 ZINC",
>BHG2NC110038Z,"BULON HEXAGONAL G2 7/16-UNC-1,1/2 ZINC",
>BHG2NC110044Z,"BULON HEXAGONAL G2 7/16-UNC-1,3/4 ZINC",
>BHG2NC110050Z,BULON HEXAGONAL G2 7/16-UNC-2 ZINC,
>BHG2NC110056Z,"BULON HEXAGONAL G2 7/16-UNC-2,1/4 ZINC",
>BHG2NC110063Z,"BULON HEXAGONAL G2 7/16-UNC-2,1/2 ZINC",
>BHG2NC110070Z,"BULON HEXAGONAL G2 7/16-UNC-2,3/4 ZINC",
>BHG2NC110076Z,BULON HEXAGONAL G2 7/16-UNC-3 ZINC,
>BHG2NC110082Z,"BULON HEXAGONAL G2 7/16-UNC-3,1/4 ZINC",
>BHG2NC110090Z,"BULON HEXAGONAL G2 7/16-UNC-3,1/2 ZINC",
>BHG2NC110100Z,BULON HEXAGONAL G2 7/16-UNC-4 ZINC,
