codigo,tipo,forma,diametro,paso,largo,grado,sistema,acabado,precio_unitario,proveedor,descripcion
AC10X150,tornillo_allen,cilindrica,10,1.50,150,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 150 12.9"
AC10X160,tornillo_allen,cilindrica,10,1.50,160,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 160 12.9"
AC10X180,tornillo_allen,cilindrica,10,1.50,180,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 180 12.9"
AC10X200,tornillo_allen,cilindrica,10,1.50,200,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 200 12.9"
AC12X20,tornillo_allen,cilindrica,12,1.75,20,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 20 12.9"
AC12X25,tornillo_allen,cilindrica,12,1.75,25,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 25 12.9"
AC12X30,tornillo_allen,cilindrica,12,1.75,30,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 30 12.9"
AC12X35,tornillo_allen,cilindrica,12,1.75,35,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 35 12.9"
AC12X40,tornillo_allen,cilindrica,12,1.75,40,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 40 12.9"
AC12X45,tornillo_allen,cilindrica,12,1.75,45,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 45 12.9"
